Name,Score,Genders,Type,Episodes,Premiered,Producers,Source,Duration per ep.,Rating
Durarara!!x2 Ketsu,8.1,Action,TV,12,2016,Aniplex,Light novel,24 min,R - 17+ (violence & profanity)
Durarara!!x2 Shou,8.03,Action,TV,12,2015,Aniplex,Light novel,24 min,R - 17+ (violence & profanity)
Durarara!!x2 Ten,8.01,Action,TV,12,2015,Aniplex,Light novel,24 min,R - 17+ (violence & profanity)
Dynamic Chord,4.71,Music,TV,12,2017,TBS,Visual novel,24 min,PG-13 - Teens 13 or older
E's Otherwise,6.64,Adventure,TV,26,2003,Sotsu,Manga,23 min,PG-13 - Teens 13 or older
Eat-Man,6.46,Action,TV,12,1997,Bandai Visual,Manga,24 min,R - 17+ (violence & profanity)
Eden's Bowy,6.52,Action,TV,26,1999,Bandai Visual,Manga,24 min,PG-13 - Teens 13 or older
ef: A Tale of Memories.,7.95,"Mystery, Drama, Romance",TV,12,2007,Rondo Robe,Visual novel,24 min,PG-13 - Teens 13 or older
Egao no Daika,6.06,"Military, Slice of Life, Drama, Fantasy, Mecha",TV,12,2019,VAP,Original,23 min,PG-13 - Teens 13 or older
"Eikoku Ikka, Nihon wo Taberu",6.37,Comedy,TV,24,2015,NHK,Book,19 min,G - All Ages
Eikoku Koi Monogatari Emma,7.67,"Slice of Life, Historical, Drama, Romance, Seinen",TV,12,2005,Pony Canyon,Manga,25 min,G - All Ages
Eizouken ni wa Te wo Dasu na!,8.17,Adventure,TV,12,2020,Warner Bros. Japan,Manga,25 min,PG-13 - Teens 13 or older
El Cazador de la Bruja,7.24,Adventure,TV,26,2007,Victor Entertainment,Original,24 min,PG-13 - Teens 13 or older
El Hazard: The Alternative World,6.83,Adventure,TV,13,1998,Pioneer LDC,Original,25 min,PG-13 - Teens 13 or older
El Hazard: The Wanderers,6.97,Adventure,TV,26,1995,TV Tokyo,Original,23 min,PG-13 - Teens 13 or older
Element Hunters,6.64,"Sci-Fi, Shounen",TV,39,2009,NHK,Original,24 min,G - All Ages
Elf wo Karu Mono-tachi,7.03,Adventure,TV,12,1996,Sotsu,Manga,24 min,PG-13 - Teens 13 or older
Elfen Lied,7.56,Action,TV,13,2004,VAP,Manga,25 min,R+ - Mild Nudity
Endride,5.65,Adventure,TV,24,2016,VAP,Original,23 min,PG-13 - Teens 13 or older
Endro~!,6.94,"Fantasy, Magic, Slice of Life",TV,12,2019,Egg Firm,Original,23 min,PG-13 - Teens 13 or older
Enen no Shouboutai,7.68,Action,TV,24,2019,Mainichi Broadcasting System,Manga,23 min,PG-13 - Teens 13 or older
Enen no Shouboutai: Ni no Shou,7.78,Action,TV,24,2020,Mainichi Broadcasting System,Manga,24 min,PG-13 - Teens 13 or older
Ensemble Stars!,6.83,"Music, School",TV,24,2019,Frontier Works,Game,23 min,PG-13 - Teens 13 or older
Erementar Gerad,7.3,Adventure,TV,26,2005,TV Tokyo,Manga,24 min,PG-13 - Teens 13 or older
Ergo Proxy,7.92,"Psychological, Mystery, Sci-Fi",TV,23,2006,Geneon Universal Entertainment,Original,25 min,R - 17+ (violence & profanity)
Eromanga-sensei,6.49,Drama,TV,12,2017,Aniplex,Light novel,23 min,PG-13 - Teens 13 or older
Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi,6.45,Fantasy,TV,12,2014,Sotsu,Game,24 min,PG-13 - Teens 13 or older
Eternity: Shinya no Nurekoi Channel ♡,5.58,Ecchi,TV,12,2020,Kadokawa,Manga,11 min,R+ - Mild Nudity
Etotama,6.85,Action,TV,12,2015,Pony Canyon,Original,24 min,PG-13 - Teens 13 or older
Eureka Seven AO,6.7,Action,TV,24,2012,Bandai Visual,Manga,24 min,PG-13 - Teens 13 or older
Evil or Live,5.83,"Psychological, School",TV,12,2017,Emon,Web manga,23 min,R - 17+ (violence & profanity)
Ex-Arm,2.18,Action,TV,12,2021,Nippon Animation,Manga,23 min,PG-13 - Teens 13 or older
Eyeshield 21,7.95,Action,TV,145,2005,TV Tokyo,Manga,23 min,PG-13 - Teens 13 or older
F,6.67,Cars,TV,31,1988,Kitty Films,Manga,25 min,PG-13 - Teens 13 or older
F-Zero: Falcon Densetsu,6.42,Action,TV,51,2003,Studio Jack,Game,23 min,PG - Children
Fabre-sensei wa Meitantei,6.26,Mystery,TV,26,2000,Enoki Films,Book,25 min,PG - Children
Fairy Gone,5.81,Action,TV,12,2019,Mainichi Broadcasting System,Original,23 min,PG-13 - Teens 13 or older
Fairy Gone 2nd Season,6.39,Action,TV,12,2019,Mainichi Broadcasting System,Original,23 min,PG-13 - Teens 13 or older
Fairy Tail,7.68,Action,TV,175,2009,TV Tokyo,Manga,24 min,PG-13 - Teens 13 or older
Fairy Tail (2014),7.73,Action,TV,102,2014,TV Tokyo,Manga,24 min,PG-13 - Teens 13 or older
Fairy Tail: Final Series,7.55,Action,TV,51,2018,TV Tokyo,Manga,23 min,PG-13 - Teens 13 or older
Fantasista Doll,6.16,"Sci-Fi, Magic, Fantasy",TV,12,2013,AIC,Original,23 min,PG-13 - Teens 13 or older
Fate/Apocrypha,7.16,Action,TV,25,2017,Aniplex,Light novel,23 min,R - 17+ (violence & profanity)
Fate/Extra: Last Encore,6.29,Action,TV,10,2018,Aniplex,Game,24 min,R - 17+ (violence & profanity)
Fate/Grand Order: Zettai Majuu Sensen Babylonia,7.95,Action,TV,21,2019,Aniplex,Game,23 min,PG-13 - Teens 13 or older
Fate/kaleid liner Prisma☆Illya,7.11,Action,TV,10,2013,Lantis,Manga,24 min,PG-13 - Teens 13 or older
Fate/kaleid liner Prisma☆Illya 2wei Herz!,7.25,Action,TV,10,2015,Lantis,Manga,23 min,PG-13 - Teens 13 or older
Fate/kaleid liner Prisma☆Illya 2wei!,7.3,Action,TV,10,2014,Lantis,Manga,23 min,PG-13 - Teens 13 or older
Fate/kaleid liner Prisma☆Illya 3rei!!,7.55,Action,TV,12,2016,Lantis,Manga,24 min,PG-13 - Teens 13 or older
Fate/stay night,7.34,Action,TV,24,2006,Geneon Universal Entertainment,Visual novel,24 min,R - 17+ (violence & profanity)
Fate/stay night: Unlimited Blade Works,8.22,Action,TV,12,2014,Aniplex,Visual novel,28 min,R - 17+ (violence & profanity)
Fate/stay night: Unlimited Blade Works 2nd Season,8.33,Action,TV,13,2015,Aniplex,Visual novel,23 min,R - 17+ (violence & profanity)
Fate/Zero,8.34,Action,TV,13,2011,Aniplex,Light novel,28 min,R - 17+ (violence & profanity)
Fate/Zero 2nd Season,8.59,Action,TV,12,2012,Aniplex,Light novel,24 min,R - 17+ (violence & profanity)
Fight Ippatsu! Juuden-chan!!,6.68,Ecchi,TV,12,2009,Avex Entertainment,Manga,24 min,R+ - Mild Nudity
Figure 17: Tsubasa & Hikaru,7.23,"Sci-Fi, Slice of Life",TV,13,2001,Bandai Visual,Original,47 min,PG-13 - Teens 13 or older
Final Approach,6.56,Drama,TV,13,2004,Tokyo Movie Shinsha,Visual novel,14 min,PG-13 - Teens 13 or older
Final Fantasy: Unlimited,6.2,Action,TV,25,2001,TV Tokyo,Game,24 min,PG-13 - Teens 13 or older
Fireball,6.68,Sci-Fi,TV,13,2008,Victor Entertainment,Original,1 min,G - All Ages
Fireball Charming,6.8,Sci-Fi,TV,13,2011,Victor Entertainment,Original,2 min,G - All Ages
Fireball Humorous,5.76,"Sci-Fi, Comedy",TV,3,2017,Victor Entertainment,Original,2 min,G - All Ages
"Flanders no Inu, Boku no Patrasche",7.06,Drama,TV,26,1992,Tokyo Movie Shinsha,Novel,25 min,G - All Ages
Flip Flappers,7.68,"Sci-Fi, Adventure, Comedy, Magic",TV,13,2016,Sotsu,Original,23 min,PG-13 - Teens 13 or older
Flowering Heart,6.14,"Kids, Magic",TV,26,2016,Earth Star Entertainment,Original,13 min,PG - Children
Flying Witch,7.53,"Slice of Life, Comedy, Supernatural, Magic, Shounen",TV,12,2016,VAP,Manga,23 min,PG-13 - Teens 13 or older
Forest Fairy Five,3.47,"Music, Comedy, Fantasy",TV,13,2017,Shochiku,Picture book,10 min,PG - Children
Fortune Arterial: Akai Yakusoku,6.73,Romance,TV,12,2010,Nippon Animation,Visual novel,24 min,PG-13 - Teens 13 or older
Fortune Quest L,6.42,Adventure,TV,26,1997,E&G Films,Novel,23 min,PG-13 - Teens 13 or older
Fractale,6.96,Adventure,TV,11,2011,Fuji TV,Original,23 min,PG-13 - Teens 13 or older
Frame Arms Girl,6.42,Action,TV,12,2017,Frontier Works,Other,23 min,PG-13 - Teens 13 or older
Francesca,5.49,Fantasy,TV,24,2014,Pony Canyon,Original,11 min,PG-13 - Teens 13 or older
Free!,7.39,Comedy,TV,12,2013,Lantis,Original,24 min,PG-13 - Teens 13 or older
Free!: Dive to the Future,7.59,Comedy,TV,12,2018,Heart Company,Original,23 min,PG-13 - Teens 13 or older
Free!: Eternal Summer,7.68,Comedy,TV,13,2014,Lantis,Original,24 min,PG-13 - Teens 13 or older
Freezing,6.91,Action,TV,12,2011,Media Factory,Manga,24 min,R+ - Mild Nudity
Freezing Vibration,6.82,Action,TV,12,2013,Media Factory,Manga,23 min,R+ - Mild Nudity
Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,26,2001,TV Tokyo,Manga,24 min,PG-13 - Teens 13 or older
Fruits Basket 1st Season,8.2,Drama,TV,25,2019,TV Tokyo,Manga,23 min,PG-13 - Teens 13 or older
Fruits Basket 2nd Season,8.54,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,25,2020,TMS Entertainment,Manga,23 min,PG-13 - Teens 13 or older
Fudanshi Koukou Seikatsu,6.55,"Slice of Life, Comedy, School, Shoujo",TV,12,2016,DAX Production,4-koma manga,3 min,PG-13 - Teens 13 or older
Fugou Keiji: Balance:Unlimited,7.56,"Mystery, Comedy, Police",TV,11,2020,Aniplex,Novel,23 min,PG-13 - Teens 13 or older
Fukigen na Mononokean,7.42,Fantasy,TV,13,2016,Sotsu,Web manga,24 min,PG-13 - Teens 13 or older
Fukigen na Mononokean Tsuzuki,7.57,Fantasy,TV,13,2019,VAP,Web manga,23 min,PG-13 - Teens 13 or older
Fukumenkei Noise,7.01,"Music, Drama, Romance, School, Shoujo",TV,12,2017,Shochiku,Manga,23 min,PG-13 - Teens 13 or older
Full Metal Panic!,7.65,Action,TV,24,2002,Kadokawa,Light novel,24 min,R - 17+ (violence & profanity)
Full Metal Panic! The Second Raid,7.96,Action,TV,13,2005,Kadokawa,Light novel,24 min,R - 17+ (violence & profanity)
Full Metal Panic? Fumoffu,8.07,Action,TV,12,2003,Studio Jack,Light novel,24 min,PG-13 - Teens 13 or older
Full Moon wo Sagashite,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",TV,52,2002,Nihon Ad Systems,Manga,24 min,PG-13 - Teens 13 or older
Fullmetal Alchemist,8.17,Action,TV,51,2003,Aniplex,Manga,24 min,PG-13 - Teens 13 or older
Fullmetal Alchemist: Brotherhood,9.19,Action,TV,64,2009,Aniplex,Manga,24 min,R - 17+ (violence & profanity)
Fune wo Amu,7.64,"Slice of Life, Drama, Romance",TV,11,2016,Aniplex,Novel,22 min,PG-13 - Teens 13 or older
Funny Pets,5.09,Comedy,TV,12,2006,KBS,Original,6 min,PG-13 - Teens 13 or older
Furusato Saisei: Nippon no Mukashibanashi,7,"Historical, Kids, Supernatural",TV,258,2012,TV Tokyo,Other,24 min,G - All Ages
Fushigi na Koala Blinky,6.3,Adventure,TV,26,1984,Fuji TV,Original,25 min,G - All Ages
Fushigi na Melmo,6.38,"Magic, Shoujo",TV,26,1971,Mushi Production,Manga,24 min,PG - Children
Fushigi na Somera-chan,5.88,Comedy,TV,12,2015,DAX Production,4-koma manga,3 min,PG-13 - Teens 13 or older
Fushigi no Umi no Nadia,7.54,Adventure,TV,39,1990,NHK,Original,25 min,PG-13 - Teens 13 or older
Fushigi Yuugi,7.64,Adventure,TV,52,1995,TV Tokyo,Manga,23 min,PG-13 - Teens 13 or older
Fushigiboshi no☆Futagohime,7.27,"Magic, Comedy, Shoujo",TV,51,2005,TV Tokyo,Original,24 min,G - All Ages
Fushigiboshi no☆Futagohime Gyu!,7.08,"Magic, Comedy, Shoujo",TV,52,2006,Geneon Universal Entertainment,Original,24 min,G - All Ages
Futakoi,6.49,Romance,TV,13,2004,Lantis,Original,24 min,PG-13 - Teens 13 or older
Futakoi Alternative,6.91,Drama,TV,13,2005,Lantis,Original,24 min,PG-13 - Teens 13 or older
Futari Daka,6.01,Cars,TV,36,1984,Fuji TV,Manga,25 min,G - All Ages
Futari wa Milky Holmes,5.8,"Mystery, Comedy, Super Power",TV,12,2013,Sotsu,Original,12 min,PG-13 - Teens 13 or older
Futari wa Precure,7,Action,TV,49,2004,Asatsu DK,Original,24 min,G - All Ages
Futari wa Precure: Max Heart,6.94,Action,TV,47,2005,Asahi Broadcasting,Original,25 min,G - All Ages
Futari wa Precure: Splash☆Star,7.13,Action,TV,49,2006,Asahi Broadcasting,Original,24 min,G - All Ages
Futarigurashi,6.01,Comedy,TV,36,1998,TBS,Manga,8 min,R+ - Mild Nudity
Futatsu no Spica,7.37,"Sci-Fi, Supernatural, Drama, School",TV,20,2003,NHK,Manga,25 min,PG-13 - Teens 13 or older
Futsuu no Joshikousei ga [Locodol] Yattemita.,6.9,"Slice of Life, Comedy, Seinen",TV,12,2014,TBS,4-koma manga,24 min,PG-13 - Teens 13 or older
Future Card Buddyfight,6.73,Game,TV,64,2014,Bushiroad,Card game,24 min,PG - Children
Future Card Buddyfight Battsu,6.33,Game,TV,52,2017,Dentsu,Card game,23 min,PG - Children
Future Card Buddyfight Hundred,6.64,Game,TV,50,2015,Dentsu,Card game,24 min,PG - Children
Future Card Buddyfight Triple D,6.43,Game,TV,51,2016,Bushiroad,Card game,23 min,PG - Children
Fuujin Monogatari,7.22,"Slice of Life, Fantasy, Supernatural, School, Drama",TV,13,2004,Tohokushinsha Film Corporation,Original,25 min,G - All Ages
Fuuka,6.54,Drama,TV,12,2017,Studio Jack,Manga,24 min,R+ - Mild Nudity
Fuyu no Sonata,7.4,Drama,TV,26,2009,Yomiko Advertising,Other,25 min,PG-13 - Teens 13 or older
ēlDLIVE,6.16,Action,TV,12,2017,Yomiko Advertising,Manga,24 min,PG-13 - Teens 13 or older
Ga-Rei: Zero,7.64,Action,TV,12,2008,Lantis,Manga,23 min,R - 17+ (violence & profanity)
Gabriel DropOut,7.49,Fantasy,TV,12,2017,Media Factory,Manga,23 min,PG-13 - Teens 13 or older
Gad Guard,6.7,"Sci-Fi, Adventure, Mecha, Shounen",TV,26,2003,Geneon Universal Entertainment,Original,25 min,PG-13 - Teens 13 or older
Gaist Crusher,5.86,Action,TV,51,2013,TV Tokyo,Game,24 min,PG - Children
Gakkatsu!,6.5,School,TV,25,2012,Fanworks,Original,5 min,G - All Ages
Gakkou no Kaidan,7.68,"Mystery, Horror, Supernatural",TV,19,2000,Aniplex,Original,24 min,PG-13 - Teens 13 or older
Gakkougurashi!,7.63,"Slice of Life, Psychological, School, Horror, Mystery",TV,12,2015,Sotsu,Manga,24 min,R - 17+ (violence & profanity)
Gakkyuu Ou Yamazaki,6.2,Comedy,TV,53,1998,TV Tokyo,Manga,24 min,G - All Ages
Gakuen Alice,7.65,School,TV,26,2004,Aniplex,Manga,25 min,G - All Ages
Gakuen Babysitters,7.84,School,TV,12,2018,Bandai Visual,Manga,23 min,PG-13 - Teens 13 or older
Gakuen Basara,6.17,Action,TV,12,2018,TBS,Game,24 min,PG-13 - Teens 13 or older
Gakuen Heaven,6.55,"Harem, Comedy, Drama, Romance, School, Shounen Ai",TV,13,2006,Geneon Universal Entertainment,Visual novel,26 min,PG-13 - Teens 13 or older
Gakuen Senki Muryou,7.07,"Sci-Fi, Adventure, Space, Supernatural, Mecha, Shounen",TV,26,2001,Starchild Records,Original,25 min,PG-13 - Teens 13 or older
Gakuen Utopia Manabi Straight!,7.28,"Slice of Life, Comedy, School",TV,12,2007,Starchild Records,Original,24 min,G - All Ages
Gakusen Toshi Asterisk,6.9,Action,TV,12,2015,Aniplex,Light novel,23 min,PG-13 - Teens 13 or older
Gakusen Toshi Asterisk 2nd Season,7.08,"Sci-Fi, Harem, Comedy, Supernatural, Romance, Ecchi, Fantasy, School",TV,12,2016,Aniplex,Light novel,24 min,PG-13 - Teens 13 or older
Galaxy Angel,7.03,Sci-Fi,TV,24,2001,Bandai Visual,Game,13 min,PG-13 - Teens 13 or older
Galaxy Angel 3,7.31,Sci-Fi,TV,26,2002,Bandai Visual,Original,24 min,PG - Children
Galaxy Angel 4,7.22,Sci-Fi,TV,13,2004,Bandai Visual,Game,24 min,PG - Children
Galaxy Angel Z,7.18,"Sci-Fi, Comedy",TV,9,2002,Bandai Visual,Original,24 min,PG - Children
Galilei Donna,6.44,Action,TV,11,2013,Aniplex,Original,24 min,R - 17+ (violence & profanity)
Gallery Fake,7.47,"Mystery, Seinen",TV,37,2005,TV Tokyo,Manga,25 min,PG-13 - Teens 13 or older
Gamba no Bouken,7.09,Adventure,TV,26,1975,Nippon Animation,Novel,24 min,G - All Ages
Gamers!,6.92,"Game, Comedy, Romance, School",TV,12,2017,Sony Pictures Entertainment,Light novel,24 min,PG-13 - Teens 13 or older
Ganbare Genki,7.33,Action,TV,35,1980,Fuji TV,Manga,23 min,PG-13 - Teens 13 or older
Ganbare Goemon,6.09,Shounen,TV,23,1997,Konami,Game,24 min,G - All Ages
Ganbare! Kickers,6.82,Comedy,TV,23,1986,Nippon Animation,Manga,23 min,G - All Ages
Ganbarist! Shun,7.2,Comedy,TV,30,1996,Yomiko Advertising,Manga,26 min,PG-13 - Teens 13 or older
Gangsta.,7.4,Action,TV,12,2015,Bandai Visual,Manga,23 min,R - 17+ (violence & profanity)
Gankutsuou,8.17,Drama,TV,24,2004,GDH,Novel,24 min,R - 17+ (violence & profanity)
Gantz,7.05,Action,TV,13,2004,Fuji TV,Manga,22 min,R+ - Mild Nudity
Gantz 2nd Stage,7.08,Action,TV,13,2004,Fuji TV,Manga,23 min,R+ - Mild Nudity
Garo: Guren no Tsuki,5.89,Action,TV,23,2015,Tohokushinsha Film Corporation,Original,24 min,PG-13 - Teens 13 or older
Garo: Honoo no Kokuin,7.41,Action,TV,24,2014,Tohokushinsha Film Corporation,Original,24 min,R - 17+ (violence & profanity)
Garo: Vanishing Line,7.17,Action,TV,24,2017,Tohokushinsha Film Corporation,Original,24 min,R - 17+ (violence & profanity)
Gasaraki,6.66,"Psychological, Mecha, Military, Supernatural, Drama",TV,25,1998,Yomiko Advertising,Original,25 min,PG-13 - Teens 13 or older
Gatchaman Crowds,7.33,"Sci-Fi, Adventure",TV,12,2013,VAP,Original,23 min,PG-13 - Teens 13 or older
Gate Keepers,6.96,Action,TV,24,2000,Media Factory,Game,25 min,PG-13 - Teens 13 or older
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",7.74,Action,TV,12,2015,Genco,Light novel,23 min,R - 17+ (violence & profanity)
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",7.77,Action,TV,12,2016,Genco,Light novel,23 min,R - 17+ (violence & profanity)
gdgd Fairies,6.8,Comedy,TV,12,2011,Starchild Records,Original,13 min,G - All Ages
gdgd Fairies 2,6.94,Fantasy,TV,12,2013,Starchild Records,Original,15 min,PG - Children
gdMen,5.91,Fantasy,TV,12,2018,Tokyo Movie Shinsha,Original,8 min,PG - Children
Gegege no Kitarou (2018),7.23,Fantasy,TV,97,2018,Yomiko Advertising,Manga,23 min,G - All Ages
Geisters: Fractions of the Earth,5.84,Action,TV,26,2001,Asahi,Original,24 min,PG-13 - Teens 13 or older
Gekkan Shoujo Nozaki-kun,7.96,Romance,TV,12,2014,TV Tokyo,4-koma manga,24 min,PG-13 - Teens 13 or older
Genei wo Kakeru Taiyou,6.42,Magic,TV,13,2013,Aniplex,Original,24 min,R - 17+ (violence & profanity)
Geneshaft,6.38,Adventure,TV,13,2001,Bandai Visual,Original,23 min,PG-13 - Teens 13 or older
Genji Monogatari Sennenki,6.93,Drama,TV,11,2009,Dentsu,Novel,22 min,R+ - Mild Nudity
Genji Tsuushin Agedama,6.33,Action,TV,51,1991,Nihon Ad Systems,Original,25 min,R+ - Mild Nudity
Genki Bakuhatsu Ganbaruger,6.75,"Mecha, Shounen",TV,47,1992,TV Tokyo,Original,24 min,PG - Children
Genma Taisen: Shinwa Zenya no Shou,5.1,Adventure,TV,13,2002,E&G Films,Manga,25 min,PG-13 - Teens 13 or older
Genshi Shounen Ryuu,6.3,Action,TV,22,1971,TBS,Manga,25 min,PG-13 - Teens 13 or older
Genshiken,7.66,"Slice of Life, Comedy, Parody",TV,12,2004,Genco,Manga,25 min,PG-13 - Teens 13 or older
Genshiken 2,7.77,Parody,TV,12,2007,Genco,Manga,24 min,R - 17+ (violence & profanity)
Genshiken Nidaime,7.46,"Slice of Life, Comedy, Parody",TV,13,2013,Starchild Records,Manga,24 min,R - 17+ (violence & profanity)
Gensoumaden Saiyuuki,7.59,Action,TV,50,2000,TV Tokyo,Manga,23 min,R - 17+ (violence & profanity)
Geragera Boes Monogatari,7.03,Kids,TV,52,1987,TV Tokyo,Other,24 min,G - All Ages
GetBackers,7.61,Action,TV,49,2002,TBS,Manga,24 min,PG-13 - Teens 13 or older
Getsumen To Heiki Mina,6.3,Parody,TV,11,2007,Pony Canyon,Other,23 min,PG-13 - Teens 13 or older
Getter Robo,6.79,Action,TV,51,1974,Dynamic Planning,Manga,25 min,PG-13 - Teens 13 or older
Getter Robo G,6.53,Action,TV,39,1975,Fuji TV,Manga,24 min,PG-13 - Teens 13 or older
Ghost Hunt,7.81,"Mystery, Comedy, Horror, Supernatural, Shoujo",TV,25,2006,TV Tokyo,Light novel,25 min,PG-13 - Teens 13 or older
Gi(a)rlish Number,6.88,Slice of Life,TV,12,2016,Frontier Works,Original,24 min,PG-13 - Teens 13 or older
Giant Killing,7.58,Sports,TV,26,2010,NHK,Manga,24 min,PG-13 - Teens 13 or older
Gift: Eternal Rainbow,6.63,Drama,TV,12,2006,Studio Jack,Visual novel,24 min,PG-13 - Teens 13 or older
Gifuu Doudou!!: Kanetsugu to Keiji,6.48,Action,TV,25,2013,Nippon Animation,Manga,24 min,R - 17+ (violence & profanity)
Gilgamesh,6.65,Drama,TV,26,2003,Kadokawa,Manga,23 min,R - 17+ (violence & profanity)
Gin no Guardian,6.25,Adventure,TV,12,2017,Emon,Web manga,13 min,PG-13 - Teens 13 or older
Gin no Guardian II,6.61,Adventure,TV,6,2018,Haoliners Animation League,Web manga,24 min,PG-13 - Teens 13 or older
Gin no Saji,8.11,School,TV,11,2013,Aniplex,Manga,23 min,PG-13 - Teens 13 or older
Gin no Saji 2nd Season,8.29,School,TV,11,2014,Aniplex,Manga,24 min,PG-13 - Teens 13 or older
Ginban Kaleidoscope,7.34,Sports,TV,12,2005,Aniplex,Light novel,24 min,PG-13 - Teens 13 or older
Ginga Densetsu Weed,7.23,Adventure,TV,26,2005,Nihon Ad Systems,Manga,24 min,PG-13 - Teens 13 or older
Ginga e Kickoff!!,7.24,Sports,TV,39,2012,NHK,Novel,25 min,PG - Children
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,7.7,Action,TV,12,2018,Shochiku,Novel,25 min,R - 17+ (violence & profanity)
Ginga Kikoutai Majestic Prince,7.36,Action,TV,24,2013,TV Tokyo,Manga,23 min,PG-13 - Teens 13 or older
Ginga Nagareboshi Gin,8.04,Action,TV,21,1986,Asahi,Manga,23 min,PG-13 - Teens 13 or older
Ginga Sengoku Gunyuuden Rai,7.94,"Sci-Fi, Adventure, Space, Romance, Shounen",TV,52,1994,TV Tokyo,Manga,25 min,PG-13 - Teens 13 or older
Ginga Senpuu Braiger,6.68,Action,TV,39,1981,Kokusai Eigasha,Original,23 min,PG-13 - Teens 13 or older
Ginga Shippuu Sasuraiger,6.33,Action,TV,43,1983,TV Tokyo,Original,25 min,PG-13 - Teens 13 or older
Ginga Tetsudou Monogatari,7.16,Action,TV,26,2003,Geneon Universal Entertainment,Original,24 min,PG-13 - Teens 13 or older
Ginga Tetsudou Monogatari: Eien e no Bunkiten,6.86,Action,TV,24,2006,C2C,Original,24 min,PG-13 - Teens 13 or older
Gingitsune,7.18,"Seinen, Slice of Life, Supernatural",TV,12,2013,TV Tokyo,Manga,24 min,PG-13 - Teens 13 or older
Giniro no Olynsis: Tokito,6.3,Adventure,TV,12,2006,Haoliners Animation League,Original,23 min,PG-13 - Teens 13 or older
Ginsoukikou Ordian,5.78,"Mecha, Sci-Fi",TV,24,2000,Shochiku,Original,25 min,R+ - Mild Nudity
Gintama,8.96,Action,TV,201,2006,TV Tokyo,Manga,24 min,PG-13 - Teens 13 or older
Gintama.,8.99,Action,TV,12,2017,TV Tokyo,Manga,24 min,PG-13 - Teens 13 or older
Gintama.: Porori-hen,8.53,Action,TV,13,2017,TV Tokyo,Manga,23 min,PG-13 - Teens 13 or older
Gintama.: Shirogane no Tamashii-hen,8.81,Action,TV,12,2018,TV Tokyo,Manga,24 min,PG-13 - Teens 13 or older
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.86,Action,TV,14,2018,TV Tokyo,Manga,24 min,PG-13 - Teens 13 or older
Gintama',9.08,Action,TV,51,2011,TV Tokyo,Manga,24 min,PG-13 - Teens 13 or older
Gintama': Enchousen,9.04,Action,TV,13,2012,TV Tokyo,Manga,24 min,PG-13 - Teens 13 or older
Gintama°,9.1,Action,TV,51,2015,TV Tokyo,Manga,24 min,PG-13 - Teens 13 or older
Ginyuu Mokushiroku Meine Liebe,6.46,"Fantasy, Shoujo",TV,13,2004,Rondo Robe,Visual novel,24 min,PG-13 - Teens 13 or older
Ginyuu Mokushiroku Meine Liebe Wieder,6.69,Drama,TV,13,2006,Geneon Universal Entertainment,Visual novel,24 min,PG-13 - Teens 13 or older
Girlfriend (Kari),5.94,"School, Slice of Life",TV,12,2014,TV Tokyo,Game,24 min,PG-13 - Teens 13 or older
Girls & Panzer,7.55,Action,TV,12,2012,Lantis,Original,24 min,PG-13 - Teens 13 or older
Girls Bravo: First Season,6.45,"Harem, Comedy, Romance, Ecchi, Fantasy, School, Shounen",TV,11,2004,Lantis,Manga,23 min,R+ - Mild Nudity
Girls Bravo: Second Season,6.68,"Harem, Comedy, Romance, Ecchi, Fantasy, School, Shounen",TV,13,2005,WOWOW,Manga,23 min,R+ - Mild Nudity
Girly Air Force,6.18,Action,TV,12,2019,Sotsu,Light novel,23 min,PG-13 - Teens 13 or older
Given,8.32,Drama,TV,11,2019,Aniplex,Manga,22 min,PG-13 - Teens 13 or older
GJ-bu,7.35,School,TV,12,2013,VAP,Light novel,23 min,PG-13 - Teens 13 or older
Glamorous Heroes,4.5,Action,TV,10,2017,Sanrio,Game,5 min,PG-13 - Teens 13 or older
Glass no Kamen,7.34,Drama,TV,23,1984,Studio Jack,Manga,24 min,PG-13 - Teens 13 or older
Glass no Kamen (2005),8.09,Drama,TV,51,2005,TMS Entertainment,Manga,25 min,G - All Ages
Glass no Kantai: La Legende du Vent de l'Univers,6.58,Adventure,TV,24,2006,Sotsu,Original,24 min,PG-13 - Teens 13 or older
Glasslip,5.44,"Romance, Slice of Life, Supernatural",TV,13,2014,Sotsu,Original,23 min,PG-13 - Teens 13 or older
Gleipnir,7.02,Action,TV,13,2020,Kodansha,Manga,23 min,R - 17+ (violence & profanity)
Go! Go! 575,5.65,Slice of Life,TV,4,2014,Sanrio,Game,3 min,PG-13 - Teens 13 or older
Goal FH: Field Hunter,6.89,Action,TV,39,1994,NHK,Manga,30 min,PG-13 - Teens 13 or older
Goblin Slayer,7.46,Action,TV,12,2018,Sony Pictures Entertainment,Light novel,23 min,R - 17+ (violence & profanity)
