Name,Score,Genders,Type,Episodes,Premiered,Producers,Source,Duration per ep.,Rating
Aho Girl,6.9,Romance,TV,12,2017,Nihon Ad Systems,4-koma manga,12 min,PG-13 - Teens 13 or older
Ai no Gakkou Cuore Monogatari,6.58,"Slice of Life, Historical, Drama, School",TV,26,1981,Tokyo Movie Shinsha,Novel,25 min,G - All Ages
Ai no Senshi Rainbowman,6.46,Action,TV,22,1982,Tokyo Movie Shinsha,Other,25 min,PG-13 - Teens 13 or older
Ai Tenchi Muyou!,6.19,Sci-Fi,TV,50,2014,VAP,Original,4 min,PG-13 - Teens 13 or older
Ai Tenshi Densetsu Wedding Peach,6.69,Adventure,TV,51,1995,KSS,Manga,24 min,G - All Ages
Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",TV,24,2002,Movic,Manga,23 min,PG-13 - Teens 13 or older
Ai Yori Aoshi: Enishi,7.16,Drama,TV,12,2003,Geneon Universal Entertainment,Manga,23 min,PG-13 - Teens 13 or older
Aikatsu Friends!,7.1,"Music, Slice of Life, School, Shoujo",TV,50,2018,TV Tokyo,Game,24 min,PG - Children
Aikatsu Stars!,7.52,"Music, School, Shoujo, Slice of Life",TV,100,2016,TV Tokyo,Original,24 min,PG - Children
Aikatsu!,7.38,"Music, School, Shoujo, Slice of Life",TV,178,2012,TV Tokyo,Original,24 min,PG - Children
Air,7.32,"Slice of Life, Supernatural, Drama, Romance",TV,12,2005,Pony Canyon,Visual novel,24 min,PG-13 - Teens 13 or older
Air Gear,7.53,Action,TV,25,2006,Marvelous,Manga,24 min,R+ - Mild Nudity
Air Master,7.02,Action,TV,27,2003,VAP,Manga,24 min,R - 17+ (violence & profanity)
Aishiteruze Baby★★,7.48,Drama,TV,26,2004,Animax,Manga,25 min,PG-13 - Teens 13 or older
Aiura,6.69,School,TV,12,2013,Pony Canyon,4-koma manga,4 min,G - All Ages
Ajin,7.49,Action,TV,13,2016,Mainichi Broadcasting System,Manga,24 min,R - 17+ (violence & profanity)
Ajin 2nd Season,7.68,Action,TV,13,2016,Toho,Manga,24 min,R - 17+ (violence & profanity)
Akachan to Boku,7.86,Drama,TV,35,1996,TV Tokyo,Manga,25 min,G - All Ages
Akagami no Shirayuki-hime,7.79,"Fantasy, Romance, Drama, Shoujo",TV,12,2015,Geneon Universal Entertainment,Manga,24 min,PG-13 - Teens 13 or older
Akagami no Shirayuki-hime 2nd Season,8,Drama,TV,12,2016,Geneon Universal Entertainment,Manga,24 min,PG-13 - Teens 13 or older
Akahori Gedou Hour Rabuge,6.16,Comedy,TV,13,2005,Lantis,Original,24 min,PG-13 - Teens 13 or older
Akai Koudan Zillion,6.6,Action,TV,31,1987,Victor Entertainment,Game,24 min,PG-13 - Teens 13 or older
Akame ga Kill!,7.53,Action,TV,24,2014,Square Enix,Manga,23 min,R - 17+ (violence & profanity)
Akaneiro ni Somaru Saka,6.47,"Harem, Comedy, Romance, Ecchi, School",TV,12,2008,Marvelous,Visual novel,25 min,R+ - Mild Nudity
Akanesasu Shoujo,6.47,Action,TV,12,2018,Yomiko Advertising,Original,23 min,PG-13 - Teens 13 or older
Akatsuki no Yona,8.05,Action,TV,24,2014,VAP,Manga,24 min,PG-13 - Teens 13 or older
Akazukin Chacha,7.39,Adventure,TV,74,1994,Nihon Ad Systems,Manga,24 min,G - All Ages
AKB0048,7.39,"Music, Sci-Fi",TV,13,2012,Starchild Records,Original,23 min,PG-13 - Teens 13 or older
AKB0048: Next Stage,7.66,"Music, Sci-Fi",TV,13,2013,Starchild Records,Original,23 min,PG-13 - Teens 13 or older
Akiba's Trip The Animation,6.55,Action,TV,13,2017,AT-X,Game,23 min,PG-13 - Teens 13 or older
Akihabara Dennou-gumi,6.56,Adventure,TV,26,1998,Asahi Broadcasting,Original,23 min,PG-13 - Teens 13 or older
Akikan!,6.18,Comedy,TV,12,2009,Half H.P Studio,Light novel,23 min,PG-13 - Teens 13 or older
Aku no Hana,7.15,"Psychological, Drama, Romance, School, Shounen",TV,13,2013,Starchild Records,Manga,24 min,R - 17+ (violence & profanity)
Akudama Drive,7.75,Action,TV,12,2020,Marvelous,Original,23 min,R - 17+ (violence & profanity)
Akuma no Riddle,6.64,Action,TV,12,2014,Mainichi Broadcasting System,Manga,23 min,R - 17+ (violence & profanity)
Akuu Daisakusen Srungle,6.17,Action,TV,53,1983,Kokusai Eigasha,Original,25 min,PG-13 - Teens 13 or older
Aldnoah.Zero,7.44,Action,TV,12,2014,Aniplex,Original,23 min,R - 17+ (violence & profanity)
Aldnoah.Zero 2nd Season,6.98,Action,TV,12,2015,Aniplex,Original,23 min,R - 17+ (violence & profanity)
Alexander Senki,5.71,Action,TV,13,1999,Media Factory,Novel,23 min,R+ - Mild Nudity
Alice SOS,6.02,Adventure,TV,28,1998,NHK,Original,19 min,G - All Ages
Alice to Zouroku,7.12,Adventure,TV,12,2017,Bandai Visual,Manga,23 min,PG-13 - Teens 13 or older
All Out!!,7.09,School,TV,25,2016,TBS,Manga,24 min,PG-13 - Teens 13 or older
Alps no Shoujo Heidi,7.28,"Slice of Life, Historical, Drama",TV,52,1974,Fuji TV,Book,25 min,PG - Children
Amagami SS,7.36,"Slice of Life, Comedy, Romance, School",TV,25,2010,Pony Canyon,Visual novel,24 min,PG-13 - Teens 13 or older
